vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,out1,out2,out3,target0,target1,target2,target3
38,SPECTRE_FAIL,,,-0.953808558,0.901971146,0.056514790,-0.706794922,,,,,0.087539847,0.559964721,0.240427221,0.112068211
39,SPECTRE_FAIL,,,0.086344852,-0.945915017,0.056218882,0.957002485,,,,,0.212088832,0.075546271,0.205794734,0.506570163
40,SPECTRE_FAIL,,,0.726650061,0.392393572,-0.477769606,-0.266600416,,,,,0.419092695,0.300015949,0.125671638,0.155219718
41,SPECTRE_FAIL,,,-0.665915931,0.543875817,0.065184795,0.558109783,,,,,0.101719017,0.341042132,0.211307623,0.345931227
42,SPECTRE_FAIL,,,-0.340670010,-0.553916654,0.623022494,0.969852101,,,,,0.122889011,0.099289017,0.322136093,0.455685880
43,SPECTRE_FAIL,,,0.705257597,0.612157170,0.636665887,0.479746041,,,,,0.274505244,0.250102276,0.256307694,0.219084786
44,SPECTRE_FAIL,,,-0.546521020,0.035277448,-0.288874913,-0.942039699,,,,,0.210240168,0.376172946,0.272025725,0.141561161
45,SPECTRE_FAIL,,,-0.944125849,-0.441162922,-0.481651273,0.385043883,,,,,0.124695778,0.206198629,0.198016739,0.471088854
46,SPECTRE_FAIL,,,0.913030153,-0.105544644,0.874042403,0.976076116,,,,,0.295163959,0.106586429,0.283877624,0.314371988
47,SPECTRE_FAIL,,,0.910001263,-0.270728229,-0.559075354,-0.546308347,,,,,0.564880012,0.173449042,0.130000296,0.131670650
48,SPECTRE_FAIL,,,-0.606587673,-0.591253273,0.248132795,0.800616676,,,,,0.118333528,0.120162086,0.278168659,0.483335726
49,SPECTRE_FAIL,,,0.680871055,-0.041053147,0.305956086,0.599287490,,,,,0.323120574,0.156977321,0.222096190,0.297805915
50,SPECTRE_FAIL,,,-0.830443027,0.321171300,0.819554275,0.564605768,,,,,0.074596623,0.235971152,0.388422062,0.301010163
51,SPECTRE_FAIL,,,0.500280920,-0.043934511,-0.642956563,0.578270862,,,,,0.335548630,0.194717826,0.106967966,0.362765578
52,SPECTRE_FAIL,,,-0.334965600,0.601647138,0.943314578,-0.208323010,,,,,0.120819706,0.308250308,0.433798257,0.137131729
53,SPECTRE_FAIL,,,-0.197226364,0.893594013,0.449597331,-0.659992680,,,,,0.153474958,0.456851224,0.293055235,0.096618583
54,SPECTRE_FAIL,,,-0.745923265,-0.697698599,0.809704191,0.613003964,,,,,0.093637511,0.098263803,0.443660009,0.364438676
55,SPECTRE_FAIL,,,-0.707651383,0.653020957,0.960611887,0.314536585,,,,,0.077035473,0.300346960,0.408515260,0.214102307
56,SPECTRE_FAIL,,,-0.299184976,0.097320088,-0.738032296,-0.971514124,,,,,0.274580644,0.408197068,0.177043893,0.140178394
57,SPECTRE_FAIL,,,0.941780354,0.299349339,0.053162094,0.867249610,,,,,0.348989633,0.183572779,0.143512761,0.323924827
58,SPECTRE_FAIL,,,-0.132381126,0.743485856,0.652310504,-0.577915325,,,,,0.160432037,0.385190259,0.351623865,0.102753838
59,SPECTRE_FAIL,,,-0.496330377,-0.414066695,-0.518921215,0.172874336,,,,,0.199358534,0.216451946,0.194905348,0.389284172
60,SPECTRE_FAIL,,,-0.481270409,-0.161974894,-0.737852647,0.820034113,,,,,0.146542997,0.201666309,0.113379051,0.538411643
61,SPECTRE_FAIL,,,-0.292431952,-0.083678027,0.166697544,0.808593549,,,,,0.146582736,0.180610711,0.231995858,0.440810696
62,SPECTRE_FAIL,,,-0.158743459,0.835442169,0.003297882,0.063649925,,,,,0.163198852,0.441048584,0.191906975,0.203845589
63,SPECTRE_FAIL,,,0.047013171,-0.962590264,-0.119750175,-0.633784225,,,,,0.368056181,0.134106218,0.311522712,0.186314889
